ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
446070,유니드비티플러스,KOSPI,,7490,110,1.49,7440,7550,7340,0,525976990,79478000350,11
36200,유니셈,KOSDAQ,우량기업부,6750,-10,-0.15,6740,6790,6660,0,287087220,2.07E+11,31
18000,유니슨,KOSDAQ,중견기업부,1778,0,0,1778,1790,1774,0,266206221,2.17E+11,122
910,유니온,KOSPI,,5030,90,1.82,4940,5060,4925,0,621698570,78526443570,16
47400,유니온머티리얼,KOSPI,,2650,5,0.19,2645,2700,2620,1,2702333465,1.11E+11,42
203450,유니온커뮤니티,KOSDAQ,벤처기업부,3685,-35,-0.94,3745,3745,3645,0,91056130,54092140795,15
11330,유니켐,KOSPI,,1393,20,1.46,1381,1408,1339,1,1311636246,1.02E+11,73
77500,유니퀘스트,KOSPI,,9540,-150,-1.55,9690,9700,9440,0,604611650,2.61E+11,27
11320,유니크,KOSDAQ,중견기업부,6600,180,2.8,6430,6720,6330,2,11633585290,1.28E+11,19
86390,유니테스트,KOSDAQ,우량기업부,12770,-100,-0.78,12880,12890,12670,0,830272280,2.70E+11,21
241690,유니테크노,KOSDAQ,우량기업부,3965,10,0.25,3970,3990,3945,0,78339365,99170855225,25
142210,유니트론텍,KOSDAQ,벤처기업부,4135,-45,-1.08,4200,4215,4130,0,396889980,77964246525,19
121060,유니포인트,KONEX,일반기업부,1214,-186,-13.29,1215,1388,1214,0,621754,7261747380,6
48430,유라테크,KOSDAQ,우량기업부,7910,-130,-1.62,8000,8000,7870,0,262297920,91123200000,12
206650,유바이오로직스,KOSDAQ,기술성장기업부,9020,-60,-0.66,9070,9150,8990,0,887415930,3.29E+11,36
89850,유비벨록스,KOSDAQ,우량기업부,13420,180,1.36,13280,13450,13000,0,122700970,95492653740,7
84440,유비온,KOSDAQ,기술성장기업부,1727,124,7.74,1619,1811,1570,4,7560937949,34044005600,20
32620,유비케어,KOSDAQ,우량기업부,7370,140,1.94,7260,7560,7150,2,11185278280,3.85E+11,52
264450,유비쿼스,KOSDAQ,우량기업부,15210,-270,-1.74,15480,15500,15110,0,200722260,1.56E+11,10
78070,유비쿼스홀딩스,KOSDAQ,중견기업부,16030,-20,-0.12,16040,16040,15980,0,15850800,3.00E+11,19
2920,유성기업,KOSPI,,2900,-10,-0.34,2900,2910,2880,0,12740245,75247750000,26
24800,유성티엔에스,KOSDAQ,우량기업부,2490,-15,-0.6,2495,2515,2490,0,15340600,77883758820,31
700,유수홀딩스,KOSPI,,6820,50,0.74,6770,6830,6700,0,59703930,1.78E+11,26
54930,유신,KOSDAQ,벤처기업부,34750,300,0.87,34600,35150,34450,0,1317739750,1.04E+11,3
69330,유아이디,KOSDAQ,벤처기업부,1999,-6,-0.3,2010,2020,1992,0,55192874,28367990909,14
49520,유아이엘,KOSDAQ,중견기업부,4200,-95,-2.21,4280,4305,3995,0,810054195,91496731200,22
435380,유안타제10호스팩,KOSDAQ,SPAC(소속부없음),2040,20,0.99,2030,2040,2025,0,10595730,11689200000,6
367480,유안타제8호스팩,KOSDAQ,SPAC(소속부없음),2070,0,0,0,0,0,0,0,13434300000,6
