itemCode,stockItemName,marketSegmentation,presence,closingPrice,prepare,fluctuationRate,openPrice,highPrice,lowPrice,tradingVolume,transactionAmount,marketCap,numberOfListedShares
54220,비츠로시스,KOSDAQ,벤처기업부,868,-12,-1.36,881,881,865,139758,122,21841,25162883
42370,비츠로테크,KOSDAQ,우량기업부,7480,-120,-1.58,7550,7570,7430,45688,342,195976,26200025
30790,비케이탑스,KOSPI,,904,0,0,0,0,0,0,0,19208,21248145
50090,비케이홀딩스,KOSDAQ,중견기업부,494,9,1.86,510,510,490,219954,109,39095,79138942
307870,비투엔,KOSDAQ,벤처기업부,2360,-85,-3.48,2425,2425,2345,137190,326,73588,31181200
357880,비트나인,KOSDAQ,기술성장기업부,9820,-410,-4.01,10200,10230,9750,274181,2729,101676,10353956
32850,비트컴퓨터,KOSDAQ,벤처기업부,7370,-460,-5.87,7750,7760,7350,266741,1996,122514,16623293
148780,비플라이소프트,KOSDAQ,기술성장기업부,1615,-57,-3.41,1655,1738,1586,1415496,2357,50785,31445725
238200,비피도,KOSDAQ,기술성장기업부,8650,-50,-0.57,8600,8830,8570,20383,177,70757,8180000
93190,빅솔론,KOSDAQ,우량기업부,7900,-30,-0.38,7930,7990,7880,10541,84,151987,19238905
65450,빅텍,KOSDAQ,우량기업부,5790,50,0.87,5740,5810,5730,308615,1781,165900,28652800
210120,빅텐츠,KONEX,일반기업부,15000,0,0,0,0,0,0,0,39795,2653000
5180,빙그레,KOSPI,,41900,-100,-0.24,42400,42400,41800,1429,60,412767,9851241
72950,빛샘전자,KOSDAQ,벤처기업부,6170,-20,-0.32,6190,6190,6120,6321,39,38444,6230859
266170,뿌리깊은나무들,KONEX,일반기업부,927,37,4.16,932,932,925,1512,1,5398,5823036
143240,사람인에이치알,KOSDAQ,우량기업부,28750,150,0.52,28600,29100,28500,1142,33,335635,11674263
3960,사조대림,KOSPI,,27650,-350,-1.25,27800,28000,27650,2073,57,253398,9164467
8040,사조동아원,KOSPI,,964,-4,-0.41,968,971,962,108558,105,136063,141144600
7160,사조산업,KOSPI,,42850,-100,-0.23,43300,43300,42750,1266,54,214250,5000000
